id_reference,type_reference,designation,programme,code_filiere,coeff_avion,longueur_piece_brut_mm,largeur_piece_brut_mm,epaisseur_brut_mm,debit_mm2,magasin,date_reception_OMP,date_besoin_client,date_transmission_proc,livrable,constituant,famille_code_filiere,norm_mat_inge,norm_mat_fab,indice_manufacturing,codes_protections,avion_impacte_pp,complexite_piece_pp,priorite_pp,indice_client_pp,classe_piece_ref_pp,procedes_speciaux_ind,cms_mat_pp,fournisseur_cmde,supplier_cmde,rang_appro,indice_client,factory,usine,priorite,type_cycle,date_emission_commande,quantite_commande,cycle_negocie,advancement_percentage_tooling,date_prev_livraison_outillage,date_reelle_livraison_outillage,advancement_percentage_program,date_prev_livraison_prog,date_reelle_livraison_prog,advancement_percentage_industrialization,date_prev_livraison_indus,date_reelle_livraison_indus,type_lot,date_prev_fin_usinage,date_reelle_fin_usinage,lieu_TS,date_prev_fin_TS,date_reelle_fin_TS,date_prev_reception_QI_fournisseur,date_reelle_reception_QI_fournisseur,lieu_equipement,date_prev_fin_equipement,date_reelle_fin_equipement,date_expedition,quantite_expediee,date_livraison_contractuelle,date_livraison_previsionnelle_S,date_reception_effective,quantite_receptionnee,ecart_commande,date_livraison_contractuelle_initiale,date_liberation,etat_reference,etat_reference,date_creation_nomenclature_appro,date_reception_matiere_fournisseur,date_liberation_previsionelle,quantite_liberee,supplier_achat,fournisseur_achat,indice_client,autonomie_matiere,autonomie_quincaillerie,quantite_FAI,type_cycle,cycle_fil_rouge_1ere_commande,cycle_fil_rouge_recommande,NRC_fil_rouge_total,RC_fil_rouge,cycle_standard_1ere_commande,cycle_standard_recommande,NRC_standard_total,RC_standard,devise,date_affectation,lag_time
15048,PE,SHEAR PANEL ASSY,programme_2,code_filiere_16,1,NA,NA,25.39999962,NA,magasin_13,2013-12-20,2013-12-23,2014-05-21,FALSE,FALSE,famille_code_filiere_4,AMS-QQ-A-250/12,AMS-QQ-A-250/12,A.5,NA,P2_MSN1,NA,P0,C,2,-,B0QQA25012I0-01,fournisseur_12,supplier_12,1,C00,factory_1,usine_1,NA,Speedshop,2014-05-06,5,45,100,2014-01-20,2014-01-20,100,2014-01-20,2014-03-28,100,2014-01-20,2014-03-28,Lot3_Released,2014-03-12,2014-04-16,NMF EUROPA,2014-05-02,2014-05-02,NA,NA,PE,NA,NA,2014-05-07,5,2014-05-21,2014-05-23,2014-05-13,5,0,2014-02-17,2014-05-15,Stock Available,Stock disponible,2014-01-09,2014-02-25,2014-05-15,NA,supplier_12,fournisseur_12,C00,FALSE,FALSE,5,Speedshop,35,35,0.060114281,0.00824873,70,70,0.060114281,0.003553717,devise_2,2013-12-27,-143
15051,PE,ANGLE,programme_2,code_filiere_10,2,NA,NA,1.600200057,NA,magasin_13,2014-05-22,2014-05-28,2014-06-10,FALSE,FALSE,famille_code_filiere_1,AMS-QQ-A-250/4,AMS-QQ-A-250/4,B.2,NA,P2_MSN1,NA,P0,C,2,-,B0QQA2504A0-03,fournisseur_9,supplier_9,1,C00,factory_2,usine_2,NA,Standard,2014-09-18,6,35,NA,NA,NA,100,2014-10-02,2014-10-02,100,2014-10-12,2014-10-12,Lot3_Released,2014-10-10,2014-10-10,HCL,2014-10-20,2014-10-20,NA,NA,Detail,NA,NA,2014-10-23,6,2014-11-05,2014-10-28,2014-10-27,6,0,2014-11-05,2014-10-30,Stock Available,Stock disponible,NA,2014-10-01,2014-11-03,NA,supplier_9,fournisseur_9,C00,FALSE,FALSE,6,Standard,25,25,0.007010817,0.001861097,50,50,0.004673878,0.001240782,devise_2,2014-09-17,-155
15052,PE,ANGLE,programme_2,code_filiere_10,1,NA,NA,1.600200057,NA,magasin_13,2014-05-22,2014-05-28,2014-06-10,FALSE,FALSE,famille_code_filiere_1,AMS-QQ-A-250/4,AMS-QQ-A-250/4,B.2,NA,P2_MSN1,NA,P0,C,2,-,B0QQA2504A0-03,fournisseur_9,supplier_9,1,C00,factory_2,usine_2,NA,Standard,2014-09-18,3,35,NA,NA,NA,100,2014-10-02,2014-10-02,100,2014-10-12,2014-10-12,Lot3_Released,2014-10-13,2014-10-10,HCL,2014-10-20,2014-10-20,NA,NA,Detail,NA,NA,2014-10-23,3,2014-11-05,2014-10-28,2014-10-27,3,0,2014-11-05,2014-10-30,Stock Available,Stock disponible,NA,2014-10-01,2014-11-03,NA,supplier_9,fournisseur_9,C00,FALSE,FALSE,3,Standard,25,25,0.007010817,0.003506767,50,50,0.004673878,0.002337845,devise_2,2014-09-17,-155
15056,PE,"DOUBLER, OUTFLOW VALVE, EXTERNAL",programme_2,code_filiere_20,1,NA,NA,5.994400024,NA,magasin_14,2014-08-21,2014-09-01,2014-10-22,TRUE,FALSE,famille_code_filiere_4,BAMS516-024,BAMS516-024,B.3,NA,P2_Test2,High,P0,C,2,-,B0BAMS516024P2-03,fournisseur_2,supplier_2,1,C00,factory_1,usine_1,NA,Speedshop,2014-11-19,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lot3_Released,NA,NA,MASA,NA,NA,NA,NA,NA,NA,NA,2014-12-19,4,2014-11-27,2015-01-16,2015-01-29,4,0,2014-11-27,2015-02-02,Stock Available,Stock disponible,NA,NA,2015-02-05,4,supplier_2,fournisseur_2,C00,FALSE,FALSE,4,Speedshop,25,20,0.004076056,0.040691118,50,40,0.004076056,0.031402239,devise_2,2014-10-23,-154
15069,PE,FRAME SPLICE,programme_2,code_filiere_14,2,NA,NA,38.09999847,NA,magasin_14,2013-12-24,2014-03-11,2014-01-10,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,A3,NA,P2_MSN1,NA,P0,B,2,144-005,B0BAMS516003K4-02,fournisseur_12,supplier_12,1,B00,factory_1,usine_1,NA,Standard,2014-03-19,5,61,100,2014-01-28,2014-02-28,100,2014-01-30,2014-02-20,100,2014-01-30,2014-02-20,Lot3_Released,2014-03-24,NA,NMF EUROPA,2014-04-23,NA,NA,NA,PE,NA,NA,2014-05-09,5,2014-04-10,2014-05-23,2014-05-15,5,0,2014-04-10,2014-05-19,Stock Available,Stock disponible,NA,2014-02-25,2014-05-19,NA,supplier_12,fournisseur_12,B00,FALSE,FALSE,10,Standard,35,35,0.056626988,0.008178531,70,70,0.056626988,0.003483518,devise_2,2014-01-15,-69
15071,PE,FRAME SPLICE,programme_2,code_filiere_14,1,NA,NA,38.09999847,NA,magasin_14,2014-01-13,2013-12-22,2014-01-13,FALSE,FALSE,famille_code_filiere_4,BAMS516-003,BAMS516-003,B.2,NA,P2_MSN1,Medium,P0,B,2,-,B0BAMS516003K4-02,fournisseur_12,supplier_12,1,B00,factory_1,usine_1,NA,Standard,2014-03-14,5,61,100,2014-01-16,2014-02-18,100,2014-01-16,2014-02-18,100,2014-01-16,2014-02-18,Lot3_Released,2014-03-05,2014-04-16,NMF EUROPA,2014-05-02,2014-05-02,NA,NA,PE,NA,NA,2014-05-07,4,2014-04-23,2014-05-30,2014-05-15,4,1,2014-03-27,2014-05-16,Stock Available,Stock disponible,NA,2014-02-05,2014-05-16,NA,supplier_12,fournisseur_12,B00,FALSE,FALSE,5,Standard,35,35,0.056626988,0.008135506,70,70,0.056626988,0.003440493,devise_2,2013-12-31,-145
15073,PE,"BUSHING, UPLOCK",programme_2,code_filiere_22,4,NA,NA,25.39999962,NA,magasin_14,2013-12-23,2013-12-22,2014-02-04,FALSE,FALSE,famille_code_filiere_2,AMS4640,AMS4640,A.4,NA,P2_MSN1,Low,P0,B,2,-,NA,fournisseur_9,supplier_9,1,B00,factory_1,usine_1,NA,Speedshop,2014-03-06,5,20,NA,NA,NA,100,2014-03-07,2014-03-10,100,2014-03-07,2014-03-10,Lot3_Released,2014-03-28,2014-03-24,HCL,2014-04-04,2014-04-08,NA,NA,NA,NA,NA,2014-04-08,5,2014-04-10,2014-04-10,2014-05-02,5,0,2014-03-24,2014-05-05,Stock Available,Stock disponible,NA,2014-03-10,2014-05-05,NA,supplier_15,fournisseur_15,B00,TRUE,FALSE,40,Standard,50,55,0.032846974,9.66732e-4,100,110,0.021050566,5.89889e-4,devise_2,2016-11-08,-134
15073,PE,"BUSHING, UPLOCK",programme_2,code_filiere_22,4,NA,NA,25.39999962,NA,magasin_14,2013-12-23,2013-12-22,2014-02-04,FALSE,FALSE,famille_code_filiere_2,AMS4640,AMS4640,A.4,NA,P2_MSN1,Low,P0,B,2,-,NA,fournisseur_15,supplier_15,1,A00,factory_2,usine_2,NA,Speedshop,2016-11-16,40,50,0,NA,NA,0,NA,NA,0,NA,NA,Lot3_Released,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-21,1,2017-01-18,2017-03-27,2017-03-23,1,NA,2017-01-18,2017-03-23,Stock Available,Stock disponible,NA,NA,NA,1,supplier_9,fournisseur_9,A00,FALSE,FALSE,5,Speedshop,20,NA,0.0048573,0.007255125,40,NA,NA,0.004836769,devise_2,2014-02-21,-1187
15073,PE,"BUSHING, UPLOCK",programme_2,code_filiere_22,4,NA,NA,25.39999962,NA,magasin_14,2013-12-23,2013-12-22,2014-02-04,FALSE,FALSE,famille_code_filiere_2,AMS4640,AMS4640,A.4,NA,P2_MSN1,Low,P0,B,2,-,NA,fournisseur_9,supplier_9,1,B00,factory_1,usine_1,NA,Speedshop,2014-03-06,5,20,NA,NA,NA,100,2014-03-07,2014-03-10,100,2014-03-07,2014-03-10,Lot3_Released,2014-03-28,2014-03-24,HCL,2014-04-04,2014-04-08,NA,NA,NA,NA,NA,2014-04-08,5,2014-04-10,2014-04-10,2014-05-02,5,0,2014-03-24,2014-05-05,Stock Available,Stock disponible,NA,2014-03-10,2014-05-05,NA,supplier_9,fournisseur_9,A00,FALSE,FALSE,5,Speedshop,20,NA,0.0048573,0.007255125,40,NA,NA,0.004836769,devise_2,2014-02-21,-134
15073,PE,"BUSHING, UPLOCK",programme_2,code_filiere_22,4,NA,NA,25.39999962,NA,magasin_14,2013-12-23,2013-12-22,2014-02-04,FALSE,FALSE,famille_code_filiere_2,AMS4640,AMS4640,A.4,NA,P2_MSN1,Low,P0,B,2,-,NA,fournisseur_15,supplier_15,1,A00,factory_2,usine_2,NA,Speedshop,2016-11-16,40,50,0,NA,NA,0,NA,NA,0,NA,NA,Lot3_Released,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-21,1,2017-01-18,2017-03-27,2017-03-23,1,NA,2017-01-18,2017-03-23,Stock Available,Stock disponible,NA,NA,NA,1,supplier_15,fournisseur_15,B00,TRUE,FALSE,40,Standard,50,55,0.032846974,9.66732e-4,100,110,0.021050566,5.89889e-4,devise_2,2016-11-08,-1187
15073,PE,"BUSHING, UPLOCK",programme_2,code_filiere_22,4,NA,NA,25.39999962,NA,magasin_14,2013-12-23,2013-12-22,2014-02-04,FALSE,FALSE,famille_code_filiere_2,AMS4640,AMS4640,A.4,NA,P2_MSN1,Low,P0,B,2,-,NA,fournisseur_15,supplier_15,2,A00,factory_2,usine_2,NA,Standard,2016-11-16,39,50,0,NA,NA,0,NA,NA,0,NA,NA,Lot3_Released,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-03-31,39,2017-01-18,2017-04-03,2017-04-05,39,NA,2017-01-18,2017-04-05,Stock Available,Stock disponible,NA,NA,NA,39,supplier_9,fournisseur_9,A00,FALSE,FALSE,5,Speedshop,20,NA,0.0048573,0.007255125,40,NA,NA,0.004836769,devise_2,2014-02-21,-1200
15074,PE,"FRAME FS379 22, FWD LOWER PANEL",programme_2,code_filiere_2,1,NA,NA,1.422399998,NA,magasin_14,2014-03-31,2013-12-11,2014-03-31,FALSE,FALSE,famille_code_filiere_1,AMS-QQ-A-250/4,AMS-QQ-A-250/4,C.4,NA,P2_MSN1,Medium,P0,B,2,-,B0QQA2504A0-02,fournisseur_11,supplier_11,1,B00,factory_2,usine_2,NA,Speedshop,2014-05-15,5,42,1,2014-03-24,2014-03-13,1,2014-02-27,2014-03-05,1,NA,2014-04-07,Lot3_Released,2014-04-17,2014-04-17,AEROLIA,2014-05-01,NA,NA,NA,NA,NA,NA,2014-05-16,1,2014-06-04,2014-05-19,2014-05-20,1,4,2014-06-04,2014-05-27,Stock Available,Stock disponible,NA,NA,NA,NA,supplier_11,fournisseur_11,A00,FALSE,FALSE,5,Speedshop,42,42,0.256066908,0.01000853,84,84,0.170711272,0.005400171,devise_2,NA,-167
15074,PE,"FRAME FS379 22, FWD LOWER PANEL",programme_2,code_filiere_2,1,NA,NA,1.422399998,NA,magasin_14,2014-03-31,2013-12-11,2014-03-31,FALSE,FALSE,famille_code_filiere_1,AMS-QQ-A-250/4,AMS-QQ-A-250/4,C.4,NA,P2_MSN1,Medium,P0,B,2,-,B0QQA2504A0-02,fournisseur_11,supplier_11,2,B00,factory_2,usine_2,NA,Speedshop,2014-05-26,4,42,1,2014-03-24,2014-03-13,1,2014-02-27,2014-03-05,1,NA,2014-04-07,Lot3_Released,2014-04-17,2014-07-03,HYDE,2014-05-01,NA,NA,NA,NA,NA,NA,2014-07-25,1,2014-06-30,2014-07-28,2014-07-29,1,3,2014-06-04,2014-08-06,Stock Available,Stock disponible,NA,NA,NA,NA,supplier_11,fournisseur_11,A00,FALSE,FALSE,5,Speedshop,42,42,0.256066908,0.01000853,84,84,0.170711272,0.005400171,devise_2,NA,-238
15074,PE,"FRAME FS379 22, FWD LOWER PANEL",programme_2,code_filiere_2,1,NA,NA,1.422399998,NA,magasin_14,2014-03-31,2013-12-11,2014-03-31,FALSE,FALSE,famille_code_filiere_1,AMS-QQ-A-250/4,AMS-QQ-A-250/4,C.4,NA,P2_MSN1,Medium,P0,B,2,-,B0QQA2504A0-02,fournisseur_11,supplier_11,3,B00,factory_2,usine_2,NA,Speedshop,2014-06-25,3,42,1,2014-03-24,2014-03-13,1,2014-02-27,2014-03-05,1,NA,2014-04-07,Lot3_Released,2014-09-08,2014-09-08,HYDE,2014-09-22,NA,NA,NA,NA,NA,NA,2014-09-17,1,2014-09-04,2014-09-19,2014-09-18,1,2,2014-06-04,2014-09-18,Stock Available,Stock disponible,NA,NA,NA,NA,supplier_11,fournisseur_11,A00,FALSE,FALSE,5,Speedshop,42,42,0.256066908,0.01000853,84,84,0.170711272,0.005400171,devise_2,NA,-281
15075,PE,"FRAME FS379 22, FWD LOWER PANEL",programme_2,code_filiere_2,1,NA,NA,1.422399998,NA,magasin_14,2014-03-31,2013-12-11,2014-03-31,FALSE,FALSE,famille_code_filiere_1,AMS-QQ-A-250/4,AMS-QQ-A-250/4,D.4,NA,P2_MSN1,Medium,P0,B,2,-,B0QQA2504A0-02,fournisseur_11,supplier_11,3,B00,factory_2,usine_2,NA,Speedshop,2014-06-25,3,42,1,2014-03-24,2014-03-19,1,2014-02-27,2014-03-05,1,NA,2014-04-07,Lot3_Released,2014-08-18,2014-08-21,HYDE,2014-09-01,2014-09-15,NA,NA,NA,NA,NA,2014-10-09,1,2014-09-04,2014-10-10,2014-10-10,1,2,2014-06-04,2014-10-10,Stock Available,Stock disponible,NA,NA,NA,NA,supplier_11,fournisseur_11,A00,FALSE,FALSE,5,Speedshop,42,42,0.256066908,0.01000853,84,84,0.170711272,0.005400171,devise_2,NA,-303
15080,PE,"FRAME FS379 38 58, FWD LWR PANEL, LAT",programme_2,code_filiere_2,1,NA,NA,1.422399998,NA,magasin_14,2013-11-07,2014-02-17,2014-04-04,FALSE,FALSE,famille_code_filiere_1,AMS-QQ-A-250/4,AMS-QQ-A-250/4,D.1,NA,P2_MSN1,Medium,P0,B,2,-,B0QQA2504A0-02,fournisseur_11,supplier_11,4,B00,factory_2,usine_2,NA,Speedshop,2014-06-24,3,53,1,2014-03-17,2014-03-03,1,2014-02-20,2014-02-12,1,NA,2014-04-07,Lot3_Released,2014-08-18,2014-07-03,HYDE,2014-09-01,2014-09-15,NA,NA,NA,NA,NA,2014-09-18,3,2014-09-04,2014-09-19,2014-09-23,3,0,2014-06-23,2014-09-24,Stock Available,Stock disponible,NA,NA,NA,NA,supplier_11,fournisseur_11,B00,FALSE,FALSE,6,Speedshop,53,53,0.256066908,0.010584914,106,106,0.170711272,0.005688967,devise_2,2014-01-02,-219
